,X,Y,Z,w,p,r
1-1번,750.096,-900.992,-30,0,0,-50.155
1-2번,738.233,-886.778,-30,0,0,-50.155
1-3번,723.471,-869.088,-30,0,0,-50.155
1-1번 센서,730.375,-713.375,-60,0,0,-44.248
1-4번,710.641,-853.715,-30,0,0,-50.155
1-5번,699.735,-947.888,-30,0,0,-53.498
1-6번,683.093,-925.397,-30,0,0,-53.498
1-7번,662.739,-897.891,-30,0,0,-53.498
1-2번 센서,685.752,-756.371,-60,0,0,-47.726
2-1번,632.075,-986.838,-30,0,0,-57.293
2-2번,623.362,-973.267,-30,0,0,-57.293
2-3번,613.403,-957.759,-30,0,0,-57.293
2-1번 센서,638.042,-797.029,-60,0,0,-51.244
2-4번,602.511,-940.796,-30,0,0,-57.293
2-5번,575.833,-1035.789,-30,0,0,-60.639
2-6번,559.694,-1007.103,-30,0,0,-60.639
2-7번,544.363,-979.852,-30,0,0,-60.639
2-2번 센서,589.321,-833.698,-60,0,0,-54.667
3-1번,506.447,-1060.751,-30,0,0,-64.066
3-2번,497.45,-1042.252,-30,0,0,-64.066
3-3번,489.773,-1026.466,-30,0,0,-64.066
3-1번 센서,532.922,-870.831,-60,0,0,-58.457
3-4번,481.556,-1009.571,-30,0,0,-64.066
3-5번,440.738,-1095.535,-30,0,0,-67.675
3-6번,429.579,-1068.364,-30,0,0,-67.675
3-7번,419.076,-1042.792,-30,0,0,-67.675
3-2번 센서,481.487,-900.29,-60,0,0,-61.784
4-1번,372.06,-1117.758,-30,0,0,-71.179
4-2번,364.813,-1096.495,-30,0,0,-71.179
4-3번,359.796,-1081.774,-30,0,0,-71.179
4-1번 센서,423.042,-929.187,-60,0,0,-65.444
4-4번,352.549,-1060.511,-30,0,0,-71.179
4-5번,308.625,-1146.164,-30,0,0,-74.522
4-6번,298.942,-111.188,-30,0,0,-74.522
4-7번,291.257,-1086.429,-30,0,0,-74.522
4-2번 센서,366.899,-952.753,-60,0,0,-68.861
5-1번,229.889,-1151.845,-30,0,0,-78.302
5-2번,227.009,-1137.933,-30,0,0,-78.302
5-3번,222.922,-1118.195,-30,0,0,-78.302
5-1번 센서,304.396,-974.523,-60,0,0,-72.576
5-4번,218.6,-1097.328,-30,0,0,-78.302
5-5번,162.048,-1176.323,-30,0,0,-81.75
5-6번,157.337,-1143.834,-30,0,0,-81.75
5-7번,152.378,-1109.636,-30,0,0,-81.75
5-2번 센서,248.462,-990.262,-60,0,0,-75.837
6-1번,86.948,-1168.838,-30,0,0,-85.334
6-2번,85.448,-1150.468,-30,0,0,-85.334
6-3번,83.902,-1131.523,-30,0,0,-85.334
6-1번 센서,183.159,-1004.393,-60,0,0,-79.588
6-4번,82.731,-1117.171,-30,0,0,-85.334
6-5번,15.191,-1189.286,-30,0,0,-88.862
6-6번,14.573,-1158.191,-30,0,0,-88.862
6-7번,13.921,-1125.369,-30,0,0,-88.862
6-2번 센서,124.831,-1013.297,-60,0,0,-82.899
7-1번,-54.613,-1178.898,-30,0,0,-92.243
7-2번,-53.644,-1154.15,-30,0,0,-92.243
7-3번,-52.945,-1136.308,-30,0,0,-92.243
7-1번 센서,58.112,-1019.302,-60,0,0,-86.66
7-4번,-52.178,-1116.739,-30,0,0,-92.243
7-5번,-128.177,-1177.051,-30,0,0,-95.807
7-6번,-124.972,-1145.533,-30,0,0,-95.807
7-7번,-122.174,-1118.027,-30,0,0,-95.807
7-2번 센서,-3.384,-1020.952,-60,0,0,-90.112
8-1번,-200.26,-1159.201,-30,0,0,-99.391
8-2번,-197.283,-1141.208,-30,0,0,-99.391
8-3번,-194.369,-1123.593,-30,0,0,-99.391
8-1번 센서,-67.466,-1018.726,-60,0,0,-93.711
8-4번,-190.139,-1098.023,-30,0,0,-99.391
8-5번,-274.631,-1147.948,-30,0,0,-103.045
8-6번,-267.741,-1118.205,-30,0,0,-103.045
8-7번,-261.197,-1089.959,-30,0,0,-103.045
8-2번 센서,-125.312,-1013.238,-60,0,0,-96.973
9-1번,-341.762,-1119.15,-30,0,0,-106.569
9-2번,-337.655,-1105.348,-30,0,0,-106.569
9-3번,-331.907,-1086.025,-30,0,0,-106.569
9-1번 센서,-191.582,-1002.821,-60,0,0,-100.738
9-4번,-325.501,-1064.492,-30,0,0,-106.569
9-5번,-410.918,-1103.652,-30,0,0,-110.012
9-6번,-400.273,-1074.424,-30,0,0,-110.012
9-7번,-389.431,-1044.654,-30,0,0,-110.012
9-2번 센서,-249.281,-990.057,-60,0,0,-104.055
10-1번,-478.299,-1073.878,-30,0,0,-113.598
10-2번,-470.723,-1056.536,-30,0,0,-113.598
10-3번,-463.312,-1039.572,-30,0,0,-113.598
10-1번 센서,-313.675,-971.577,-60,0,0,-107.815
10-4번,-452.415,-1014.627,-30,0,0,-113.598
10-5번,-548.498,-1047.629,-30,0,0,-117.227
10-6번,-534.33,-1020.088,-30,0,0,-117.227
10-7번,-519.535,-991.329,-30,0,0,-117.227
10-2번 센서,-368.524,-952.126,-60,0,0,-111.082
11-1번,-606.89,-1005.088,-30,0,0,-120.714
11-2번,-598.7,-991.304,-30,0,0,-120.714
11-3번,-588.7,-991.304,-30,0,0,-120.714
11-1번 센서,-429.034,-926.437,-60,0,0,-120.714
11-4번,-577.07,-954.899,-30,0,0,-118.149
11-5번,-675.298,-972.408,-30,0,0,-124.372
11-6번,-654.405,-941.86,-30,0,0,-1424.372
11-7번,-640.864,-922.06,-30,0,0,-124.372
11-2번 센서,-482.865,-899.553,-60,0,0,-118.149
12-1번,-733.487,-937.099,-30,0,0,-127.646
12-2번,-730.268,-923.773,-30,0,0,-127.917
12-3번,-718.243,-908.336,-30,0,0,-127.917
12-1번 센서,-540.059,-866.424,-60,0,0,-121.859
12-4번,-692.07,-874.738,-30,0,0,-127.917
12-5번,-799.608,-883.646,-30,0,0,-131.741
12-6번,-773.499,-854.358,-30,0,0,-131.74
12-7번,-759.349,-838.526,-30,0,0,-131.74
12-2번 센서,-591.48,-832.169,-60,0,0,-125.327
